type,province,district,sub-district,unit_number,total_ballots,valid_ballots,invalid_ballots,no_vote_ballots,remain_ballots
เขต,ลำปาง,วังเหนือ,ร่องเคาะ,15,320,224,17,4,75
เขต,ลำปาง,วังเหนือ,ร่องเคาะ,16,400,283,11,27,79
เขต,ลำปาง,วังเหนือ,ร่องเคาะ,17,340,202,13,11,114
เขต,ลำปาง,วังเหนือ,ร่องเคาะ,18,380,239,8,7,126
เขต,ลำปาง,วังเหนือ,ร่องเคาะ,2,340,214,16,13,97
เขต,ลำปาง,วังเหนือ,ร่องเคาะ,3,380,226,28,19,107
เขต,ลำปาง,วังเหนือ,ร่องเคาะ,4,720,497,28,25,170
เขต,ลำปาง,วังเหนือ,ร่องเคาะ,5,300,186,17,5,92
เขต,ลำปาง,วังเหนือ,ร่องเคาะ,6,400,281,24,2,93
เขต,ลำปาง,วังเหนือ,ร่องเคาะ,7,460,259,20,12,169
เขต,ลำปาง,วังเหนือ,ร่องเคาะ,8,660,483,25,32,120
เขต,ลำปาง,วังเหนือ,ร่องเคาะ,9,660,427,27,26,180
เขต,ลำปาง,วังเหนือ,วังซ้าย,1,160,92,7,1,60
เขต,ลำปาง,วังเหนือ,วังซ้าย,10,360,265,12,5,78
เขต,ลำปาง,วังเหนือ,วังซ้าย,2,340,241,9,8,82
เขต,ลำปาง,วังเหนือ,วังซ้าย,3,500,340,19,7,134
เขต,ลำปาง,วังเหนือ,วังซ้าย,4,520,353,21,7,139
เขต,ลำปาง,วังเหนือ,วังซ้าย,5,480,308,26,23,123
เขต,ลำปาง,วังเหนือ,วังซ้าย,6,320,232,13,7,68
เขต,ลำปาง,วังเหนือ,วังซ้าย,7,420,297,16,11,96
เขต,ลำปาง,วังเหนือ,วังซ้าย,8,520,357,26,11,126
เขต,ลำปาง,วังเหนือ,วังซ้าย,9,360,244,25,7,84
เขต,ลำปาง,วังเหนือ,วังทรายคำ,1,360,236,13,9,102
เขต,ลำปาง,วังเหนือ,วังทรายคำ,2,320,211,13,24,72
เขต,ลำปาง,วังเหนือ,วังทรายคำ,3,440,266,35,31,108
เขต,ลำปาง,วังเหนือ,วังทรายคำ,4,400,281,17,32,70
เขต,ลำปาง,วังเหนือ,วังทรายคำ,5,220,151,14,5,50
เขต,ลำปาง,วังเหนือ,วังทรายคำ,6,420,252,18,20,130
เขต,ลำปาง,วังเหนือ,วังทรายคำ,7,460,326,19,10,105
เขต,ลำปาง,วังเหนือ,วังทรายคำ,8,260,149,13,22,76
เขต,ลำปาง,วังเหนือ,วังทรายคำ,9,340,218,18,9,95
เขต,ลำปาง,วังเหนือ,วังทอง,1,380,280,10,1,89
เขต,ลำปาง,วังเหนือ,วังทอง,2,560,373,14,9,164
เขต,ลำปาง,วังเหนือ,วังทอง,3,600,426,35,16,123
เขต,ลำปาง,วังเหนือ,วังทอง,4,480,315,13,14,138
เขต,ลำปาง,วังเหนือ,วังทอง,5,180,115,12,10,43
เขต,ลำปาง,วังเหนือ,วังทอง,6,520,373,16,10,121
เขต,ลำปาง,วังเหนือ,วังทอง,7,580,413,32,26,109
เขต,ลำปาง,วังเหนือ,วังทอง,8,420,288,20,8,104
เขต,ลำปาง,วังเหนือ,วังทอง,9,320,230,19,8,63
เขต,ลำปาง,วังเหนือ,วังเหนือ,1,200,134,8,8,50
เขต,ลำปาง,วังเหนือ,วังเหนือ,2,240,163,13,9,55
เขต,ลำปาง,วังเหนือ,วังเหนือ,3,720,463,24,52,181
เขต,ลำปาง,วังเหนือ,วังเหนือ,4,600,346,41,42,171
เขต,ลำปาง,วังเหนือ,วังเหนือ,5,360,216,17,29,98
เขต,ลำปาง,วังเหนือ,วังเหนือ,6,420,280,34,7,99
เขต,ลำปาง,วังเหนือ,วังเหนือ,7,200,125,13,18,44
เขต,ลำปาง,วังเหนือ,วังเหนือ,8,440,298,18,27,97
เขต,ลำปาง,วังเหนือ,วังแก้ว,1,380,254,10,6,110
เขต,ลำปาง,วังเหนือ,วังแก้ว,2,340,206,25,12,97
เขต,ลำปาง,วังเหนือ,วังแก้ว,3,540,381,27,11,121
เขต,ลำปาง,วังเหนือ,วังแก้ว,4,400,215,30,21,134
เขต,ลำปาง,วังเหนือ,วังแก้ว,5,380,221,28,10,121
เขต,ลำปาง,วังเหนือ,วังแก้ว,6,280,159,34,4,83
เขต,ลำปาง,วังเหนือ,วังแก้ว,7,320,192,24,6,98
